sku_interno,producto,marca,metros_totales,retailer,url,categoria,subcategoria,rollos,metros_rollo
TC-270,Abolengo Doble Hoja 10 m 3 un,Abolengo,30,tottus,https://www.tottus.cl/tottus-cl/articulo/117637291/tp-abolengo-10m-x3-abolengo-und/117637292,Toalla de Papel,Doble Hoja,3,10
TC-271,Favorita Estilo Doble Hoja 26 m 2 un,Favorita,52,tottus,https://www.tottus.cl/tottus-cl/articulo/119445658/toalla-de-papel-estilo-favorita-2x24-mt/119445659,Toalla de Papel,Doble Hoja,2,26
TC-272,Nova Evolution Doble Hoja 26 m 2 un,Nova,52,tottus,https://www.tottus.cl/tottus-cl/articulo/110611699/toalla-de-papel-nova-evolution-26-mt-x2/110611702,Toalla de Papel,Doble Hoja,2,26
TC-273,Nova Mega Gigante Doble Hoja 100 m 1 un,Nova,100,tottus,https://www.tottus.cl/tottus-cl/articulo/110613483/toa-papel-gigante-dh-1-rollo-100-mt-nova/110613485,Toalla de Papel,Doble Hoja,1,100
TC-274,Favorita Mega Doble Hoja 100 m 1 un,Favorita,100,tottus,https://www.tottus.cl/tottus-cl/articulo/113135171/toalla-de-papel-mega-favorita-100-mt/113135173,Toalla de Papel,Doble Hoja,1,100
TC-275,Xplend Doble Hoja 100 m 1 un,Xplend,100,tottus,https://www.tottus.cl/tottus-cl/articulo/151075182/toalla-de-papel-dh-100-m-xplend-1-un/151075183,Toalla de Papel,Doble Hoja,1,100
TC-276,Nova Mega Rollo Doble Hoja 26 m 1 un,Nova,26,tottus,https://www.tottus.cl/tottus-cl/articulo/140114054/toalla-de-papel-mega-rollo-nova-26m/140114055,Toalla de Papel,Doble Hoja,1,26
TC-277,Nova Clásica Doble Hoja 12 m 3 un,Nova,36,tottus,https://www.tottus.cl/tottus-cl/articulo/136080602/toalla-de-papel-nova-clasica-12m-x3/136080603,Toalla de Papel,Doble Hoja,3,12
TC-278,Nova Clásica XL Doble Hoja 40 m 1 un,Nova,40,tottus,https://www.tottus.cl/tottus-cl/articulo/136080689/toalla-de-papel-nova-clasica-40m-x1/136080690,Toalla de Papel,Doble Hoja,1,40
TC-279,Nova Clásica Doble Hoja 12 m 12 un,Nova,144,tottus,https://www.tottus.cl/tottus-cl/articulo/136080675/toalla-de-papel-nova-clasica-12m-x12/136080676,Toalla de Papel,Doble Hoja,12,12
TC-280,Nova Evolution Doble Hoja 14 m 3 un,Nova,42,tottus,https://www.tottus.cl/tottus-cl/articulo/110613119/toalla-de-papel-nova-evolution-14mt-x3/110613120,Toalla de Papel,Doble Hoja,3,14
TC-281,Nova Mega Gigante Clásica Doble Hoja 100 m 1 un,Nova,100,tottus,https://www.tottus.cl/tottus-cl/articulo/155967383/toalla-papel-nova-100-mt/155967384,Toalla de Papel,Doble Hoja,1,100
TC-282,Nova Gigante Clásica Doble Hoja 70 m 1 un,Nova,70,tottus,https://www.tottus.cl/tottus-cl/articulo/141162935/toalla-de-papel-clasica-nova-70-mt/141162936,Toalla de Papel,Doble Hoja,1,70
TC-283,Nova Ultra Doble Hoja 14 m 2 un,Nova,28,tottus,https://www.tottus.cl/tottus-cl/articulo/132845749/toalla-papel-nova-ultra-14m-x-2un/132845750,Toalla de Papel,Doble Hoja,2,14
